StartDate,ExitDate,Title,BusinessUnit,EmployeeStatus,EmployeeType,PayZone,EmployeeClassificationType,TerminationType,TerminationDescription,DepartmentType,Division,DOB,State,JobFunctionDescription,GenderCode,LocationCode,RaceDesc,MaritalDesc,Performance Score,Current Employee Rating
02-Aug-20,20-Jun-20,Production Technician II,TNS,Terminated for Cause,Contract,Zone B,Part-Time,Voluntary,Arrive its during organization about.,Production       ,Engineers,12-03-1999,MA,Foreman,Female,75592,Hispanic,Widowed,Needs Improvement,1
09-Dec-18,08-Nov-20,BI Director,NEL,Leave of Absence,Part-Time,Zone A,Part-Time,Resignation,Choose system picture one party decision.,IT/IS,Billable Consultants,10-06-1959,MA,Vp,Male,19777,Black,Single,Fully Meets,3
09-Sep-20,11-Nov-22,Area Sales Manager,NEL,Active,Contract,Zone C,Temporary,Resignation,Cause military a sense. Doctor property may.,Sales,Field Operations,27-11-1995,CT,Top Hand,Male,11661,Other,Single,Exceeds,4
24-Dec-20,13-Jan-20,Area Sales Manager,NEL,Active,Contract,Zone A,Full-Time,Involuntary,Arrive allow reveal move.,Sales,Catv,13-11-1993,KY,Estimator,Male,16677,Asian,Married,Fully Meets,4
18-Feb-19,24-Sep-20,Production Technician I,EW,Active,Part-Time,Zone B,Temporary,Retirement,Prevent involve hundred price.,Production       ,Engineers,17-10-1943,MA,Project Coordinator,Female,54227,Other,Widowed,Exceeds,1
23-Oct-22,22-Mar-21,Sales Manager,PL,Active,Part-Time,Zone C,Temporary,Retirement,Scientist strong team civil quality.,Admin Offices,General - Eng,21-08-1987,MA,Cfo,Male,85485,White,Divorced,Fully Meets,2
26-Nov-18,05-Jun-20,CIO,CCDR,Active,Full-Time,Zone C,Part-Time,Involuntary,Maintain program process present knowledge PM.,Sales,Field Operations,22-02-1988,MA,Laborer,Female,22411,White,Single,Fully Meets,3
29-Apr-21,11-Nov-27,Production Technician I,CCDR,Terminated for Cause,Part-Time,Zone C,Temporary,Voluntary,Less boy reflect quickly health respond million.,Production       ,Wireline Construction,23-03-1944,MA,Mechanic,Male,52948,Black,Widowed,Fully Meets,2
12-Aug-18,02-Mar-22,Production Technician II,SVG,Terminated for Cause,Full-Time,Zone C,Temporary,Retirement,Week degree party available measure.,Production       ,Aerial,03-01-1999,MA,Splicer,Female,1253,White,Divorced,Fully Meets,5
05-Nov-18,20-May-23,Production Technician I,PL,Active,Full-Time,Zone A,Full-Time,Voluntary,Free town various cup. Animal may team hit.,Production       ,Field Operations,06-06-1956,MA,Laborer,Male,15030,Hispanic,Single,Fully Meets,3
14-Jun-21,09-Mar-20,Production Technician I,PYZ,Future Start,Contract,Zone A,Temporary,Retirement,Positive far win six might.,Production       ,Field Operations,19-05-1942,MA,Laborer,Female,75928,Asian,Single,Fully Meets,3
31-Aug-18,13-May-23,Director of Operations,WBL,Active,Part-Time,Zone B,Temporary,Retirement,Stuff different color how.,Software Engineering,Project Management - Eng,09-02-1942,MA,Lineman,Male,70343,Black,Single,Fully Meets,3
09-Nov-19,16-Jan-29,Database Administrator,PL,Voluntarily Terminated,Contract,Zone A,Part-Time,Retirement,Nature here wrong why.,IT/IS,Wireline Construction,29-12-1946,MA,Billing,Female,10851,Black,Single,Fully Meets,3
23-Oct-20,02-Jun-26,Production Technician II,EW,Active,Part-Time,Zone C,Temporary,Resignation,Matter man skill produce poor.,Production       ,Field Operations,16-06-1953,MA,Project Manager,Female,17180,Asian,Single,Fully Meets,5
08-Aug-21,21-Mar-19,Area Sales Manager,CCDR,Active,Full-Time,Zone A,Full-Time,Voluntary,Central baby moment benefit do.,Sales,Wireline Construction,13-03-1978,IN,Lineman,Male,41591,Asian,Married,Fully Meets,2
29-Jan-20,14-Feb-19,Senior BI Developer,NEL,Active,Part-Time,Zone B,Part-Time,Retirement,Thus whether read kitchen itself.,Admin Offices,General - Eng,19-12-1945,MA,Intern,Male,6075,White,Widowed,Fully Meets,1
08-Mar-22,19-Mar-21,Production Technician I,EW,Future Start,Full-Time,Zone A,Full-Time,Retirement,Yard charge week wait address.,Production       ,General - Con,29-08-1993,MA,Technician,Female,10606,Hispanic,Widowed,Exceeds,5
15-May-20,14-May-24,Software Engineering Manager,BPC,Terminated for Cause,Contract,Zone B,Part-Time,Resignation,Issue teacher page true relate. Fight out learn.,IT/IS,Isp,11-07-1943,CT,Model Assistant,Female,89929,Other,Divorced,Fully Meets,3
28-Mar-22,27-Jan-26,Sr. Accountant,TNS,Future Start,Full-Time,Zone A,Full-Time,Resignation,Star idea alone.,IT/IS,Field Operations,11-09-1958,MA,Technician,Male,86650,Black,Married,Fully Meets,3
29-Jun-21,24-Jan-26,President & CEO,SVG,Active,Full-Time,Zone B,Temporary,Involuntary,Sense station management factor.,IT/IS,Field Operations,25-02-1977,MA,Tester,Male,14063,Other,Divorced,Needs Improvement,3
20-Jun-23,15-Jul-22,Software Engineer,CCDR,Leave of Absence,Contract,Zone C,Full-Time,Resignation,Risk management money field.,Software Engineering,Field Operations,13-02-1999,MA,Supervisor,Female,33919,Black,Widowed,Fully Meets,3
17-Jun-21,19-Jul-27,Production Technician I,CCDR,Terminated for Cause,Part-Time,Zone C,Temporary,Retirement,Cultural responsibility whose wear.,Production       ,Finance & Accounting,24-01-1944,MA,Clerk,Male,68411,Black,Widowed,Fully Meets,2
13-Aug-19,04-Jul-28,Production Technician II,PYZ,Leave of Absence,Contract,Zone A,Part-Time,Retirement,Ball total direction school.,Production       ,Isp,23-10-1997,MA,Executive,Male,40068,Other,Divorced,Fully Meets,4
23-May-20,08-May-22,Production Technician I,CCDR,Active,Part-Time,Zone A,Temporary,Resignation,Record your institution south stop play.,Production       ,General - Con,26-05-1979,MA,Business Development,Female,89513,Black,Widowed,Fully Meets,1
14-Feb-20,20-Oct-27,Production Technician II,BPC,Leave of Absence,Part-Time,Zone C,Temporary,Voluntary,Sense station management factor.,Production       ,Billable Consultants,02-03-1970,MA,Runner,Female,80254,White,Married,Fully Meets,1
17-Dec-22,05-Feb-29,Sr. DBA,TNS,Active,Full-Time,Zone A,Temporary,Involuntary,Word once speech mind.,Admin Offices,Underground,06-09-1979,MA,Supervisor,Male,9575,White,Single,PIP,5
10-Jan-19,04-Feb-23,Area Sales Manager,MSC,Active,Part-Time,Zone A,Part-Time,Involuntary,Foreign truth concern break ground.,Sales,Field Operations,07-12-1973,NH,Drafter,Male,38209,Asian,Widowed,Fully Meets,2
07-Mar-20,10-Jun-25,Sales Manager,EW,Active,Full-Time,Zone C,Part-Time,Unk,Rather which writer family.,Admin Offices,General - Con,24-11-1982,MA,Labor,Male,96886,Black,Divorced,Fully Meets,3
13-Oct-18,25-Jun-26,Production Technician I,TNS,Terminated for Cause,Full-Time,Zone A,Full-Time,Voluntary,Board industry once tough investment age.,Production       ,Field Operations,30-03-1983,MA,Business Development,Male,47581,White,Divorced,Fully Meets,3
27-Aug-21,06-Dec-28,IT Support,EW,Active,Full-Time,Zone B,Part-Time,Retirement,Majority executive plan imagine.,Admin Offices,Safety,17-10-1949,MA,Associate,Female,31273,White,Divorced,Fully Meets,3
10-Jul-19,21-Jul-28,President & CEO,CCDR,Active,Part-Time,Zone C,Temporary,Resignation,Man issue never strategy will maintain resource.,Production       ,Field Operations,18-06-1998,MA,Laborer,Male,69667,Black,Widowed,Fully Meets,5
07-Feb-22,07-Jul-21,Production Technician II,PL,Future Start,Full-Time,Zone A,Full-Time,Involuntary,Hold season meeting voice.,Production       ,General - Con,07-09-1963,MA,Clerk,Male,74011,Other,Divorced,Fully Meets,3
13-Oct-18,24-Jul-24,Area Sales Manager,PYZ,Active,Contract,Zone B,Full-Time,Involuntary,Dream enough treatment knowledge area.,Sales,Wireless,06-10-1989,MA,Tower Hand,Male,53917,Black,Widowed,Exceeds,3
14-Mar-19,04-Apr-19,Senior BI Developer,TNS,Leave of Absence,Contract,Zone A,Part-Time,Resignation,Continue move everything.,Production       ,Underground,26-03-1978,MA,Tower Hand,Female,25625,White,Widowed,Fully Meets,4
13-Dec-22,19-Dec-26,Enterprise Architect,TNS,Active,Full-Time,Zone A,Temporary,Involuntary,Word once speech mind.,Software Engineering,Safety,12-07-1978,MA,Supervisor,Male,19770,White,Single,Exceeds,5
